2021-03-11 19:39:18, {'time': '19:39:17', 0: 83.894, 1: -1809.4, 2: 66.547}
2021-03-11 19:39:33, {'time': '19:39:32', 0: 83.89, 1: -1809.4, 2: 66.546}
2021-03-11 19:39:48, {'time': '19:39:47', 0: 83.887, 1: -1809.4, 2: 66.546}
2021-03-11 19:40:03, {'time': '19:40:02', 0: 83.881, 1: -1809.4, 2: 66.544}
2021-03-11 19:40:18, {'time': '19:40:17', 0: 83.869, 1: -1809.4, 2: 66.544}
2021-03-11 19:40:33, {'time': '19:40:32', 0: 83.874, 1: -1809.4, 2: 66.54}
2021-03-11 19:40:48, {'time': '19:40:47', 0: 83.883, 1: -1809.4, 2: 66.54}
2021-03-11 19:41:03, {'time': '19:41:02', 0: 83.899, 1: -1809.4, 2: 66.54}
2021-03-11 19:41:18, {'time': '19:41:17', 0: 83.925, 1: -1809.4, 2: 66.542}
2021-03-11 19:41:33, {'time': '19:41:32', 0: 83.946, 1: -1809.4, 2: 66.547}
2021-03-11 19:41:48, {'time': '19:41:48', 0: 83.966, 1: -1809.4, 2: 66.553}
2021-03-11 19:42:03, {'time': '19:42:03', 0: 83.998, 1: -1809.4, 2: 66.56}
2021-03-11 19:42:18, {'time': '19:42:18', 0: 84.031, 1: -1809.4, 2: 66.573}
2021-03-11 19:42:33, {'time': '19:42:33', 0: 84.061, 1: -1809.4, 2: 66.585}
2021-03-11 19:42:48, {'time': '19:42:45', 0: 84.027, 1: -1809.4, 2: 66.596}
2021-03-11 19:43:03, {'time': '19:43:00', 0: 83.95, 1: -1809.4, 2: 66.609}
2021-03-11 19:43:18, {'time': '19:43:15', 0: 83.939, 1: -1809.4, 2: 66.621}
2021-03-11 19:43:33, {'time': '19:43:30', 0: 83.925, 1: -1809.4, 2: 66.634}
2021-03-11 19:43:48, {'time': '19:43:45', 0: 83.925, 1: -1809.4, 2: 66.641}
2021-03-11 19:44:03, {'time': '19:44:00', 0: 83.934, 1: -1809.4, 2: 66.646}
2021-03-11 19:44:18, {'time': '19:44:15', 0: 83.939, 1: -1809.4, 2: 66.654}
2021-03-11 19:44:33, {'time': '19:44:30', 0: 83.932, 1: -1809.4, 2: 66.659}
2021-03-11 19:44:48, {'time': '19:44:45', 0: 83.925, 1: -1809.4, 2: 66.663}
2021-03-11 19:45:03, {'time': '19:45:01', 0: 83.934, 1: -1809.4, 2: 66.659}
2021-03-11 19:45:18, {'time': '19:45:16', 0: 83.923, 1: -1809.4, 2: 66.652}
2021-03-11 19:45:33, {'time': '19:45:31', 0: 83.889, 1: -1809.4, 2: 66.643}
2021-03-11 19:45:48, {'time': '19:45:46', 0: 83.847, 1: -1809.4, 2: 66.625}
2021-03-11 19:46:03, {'time': '19:46:01', 0: 83.822, 1: -1809.4, 2: 66.607}
2021-03-11 19:46:18, {'time': '19:46:16', 0: 83.795, 1: -1809.4, 2: 66.58}
2021-03-11 19:46:33, {'time': '19:46:31', 0: 83.766, 1: -1809.4, 2: 66.564}
